track_code,race_date,race_number,post_position,distance,surface_code,race_type,claiming_price,speed_rating,trainer_name,trainer_starts,trainer_wins,trainer_places,trainer_shows,jockey_name,jockey_starts,jockey_wins,jockey_places,jockey_shows,program_number,odds,horse_name,age,sex,weight,sire,dam,recent_race_date_1,recent_track_code_1,recent_race_number_1,recent_surface_code_1,recent_num_entrants_1,recent_post_position_1,recent_start_call_position_1,recent_1st_call_position_1,recent_stretch_position_1,recent_finish_position_1,recent_bris_speed_1,recent_race_type_1
CD ,20250426,1,1,1760,D,C,12500.0,93.26,ESQUIVEL JESUS,0,0,0,0,,0,0,0,TEC RACING ,4.0,TIBERIUS MERCURIUS,16,4,,THE FACTOR,WAR FRONT,ROCK HARD TEN,20250329.0,TP,5.0,2640.0,11.0,2.0,1.0,1.0,5.0,8.0,81.0,AO
CD ,20250426,1,2,1760,D,C,12500.0,93.26,ANTONUIK JERRY,0,0,0,0,,0,0,0,LISA TIEMEYER STABLE LLC ,30.0,WHERE IS LISA,21,6,,DIVINING ROD,TAPIT,REDEEMED,20250319.0,TP,3.0,1320.0,6.0,1.0,4.0,5.0,5.0,3.0,73.0,C
CD ,20250426,1,3,1760,D,C,12500.0,93.26,HERNANDEZ REY,0,0,0,0,,0,0,0,JOHN DONALDSON,8.0,COYOTE ROAD,19,5,,QUALITY ROAD,ELUSIVE QUALITY,DIXIE UNION,20241220.0,TP,6.0,1760.0,12.0,8.0,8.0,9.0,12.0,11.0,57.0,C
CD ,20250426,1,4,1760,D,C,12500.0,93.26,GONZALEZ REINA E,0,0,0,0,,0,0,0,REINA E GONZALEZ,15.0,READY PURSUIT,19,2,,KLIMT,QUALITY ROAD,MORE THAN READY,20250327.0,TP,2.0,1430.0,12.0,4.0,12.0,12.0,9.0,7.0,64.0,R
CD ,20250426,1,5,1760,D,C,12500.0,93.26,COOK JASON B,0,0,0,0,5.0,0,0,0,DAVID E MILLER,5.0,PERUVIAN LUCKY,19,3,,LOOKIN AT LUCKY,SMART STRIKE,MUTAKDDIM,20250228.0,TP,3.0,1760.0,9.0,4.0,3.0,4.0,5.0,6.0,79.0,CO
CD ,20250426,1,6,1760,D,C,12500.0,93.26,KING BARRY L,0,0,0,0,,0,0,0,BARRY L KING,20.0,IMPROBABLE STORY,17,4,,JUSTIN PHILLIP,FIRST SAMURAI,DISTORTED HUMOR,20250416.0,IND,4.0,1210.0,7.0,5.0,5.0,7.0,6.0,5.0,64.0,C
CD ,20250426,1,7,1760,D,C,12500.0,93.26,JACOBSON DAVID,0,0,0,0,,0,0,0,DAVID JACOBSON,3.5,SYNTHESIS,16,2,,FIRST SAMURAI,GIANT'S CAUSEWAY,BERNARDINI,20250404.0,OP,2.0,1320.0,6.0,5.0,6.0,6.0,5.0,5.0,80.0,R
CD ,20250426,1,8,1760,D,C,12500.0,93.26,STALL ALBERT M JR,0,0,0,0,,0,0,0,JOHN MCCULLOCH AND ALLEN MCCULLOCH,3.0,HOODLUM,19,3,,PIONEEROF THE NILE,EMPIRE MAKER,CONGRATS,20250217.0,FG,4.0,1650.0,10.0,9.0,8.0,4.0,6.0,9.0,72.0,CO
CD ,20250426,1,9,1760,D,C,12500.0,93.26,CHAVEZ MANUEL,0,0,0,0,,0,0,0,JIM TICHENOR,15.0,I AM THE GAME,20,1,,MENDELSSOHN,SCAT DADDY,MALIBU MOON,20250329.0,TP,3.0,1870.0,12.0,2.0,5.0,5.0,5.0,4.0,73.0,C
CD ,20250426,1,10,1760,D,C,12500.0,93.26,SHARP JOE,0,0,0,0,,0,0,0,JOE SHARP,8.0,METATRON'S MUSE,20,5,,FLATTER,A.P. INDY,CURLIN,20250201.0,TP,4.0,1760.0,10.0,10.0,6.0,6.0,5.0,5.0,65.0,C
CD ,20250426,1,11,1760,D,C,12500.0,93.26,NORRIS MIKE,0,0,0,0,,0,0,0,STEVE ALEC RHODES,20.0,NOAHS ARK,21,4,,YOSHIDA,HEART'S CRY,U S RANGER,20250329.0,TP,3.0,1870.0,12.0,9.0,8.0,8.0,8.0,6.0,72.0,C
CD ,20250426,2,1,1760,T,AO,100000.0,93.78,WALSH RYAN D,0,0,0,0,,0,0,0,SHAGBARK FARMS LLC ,20.0,JILL JITTERBUG,20,2,,CROSS TRAFFIC,UNBRIDLED'S SONG,A. P. WARRIOR,20250320.0,TP,7.0,1430.0,8.0,3.0,8.0,8.0,6.0,5.0,78.0,AO
CD ,20250426,2,2,1760,T,AO,100000.0,93.78,LOBO PAULO H,0,0,0,0,,0,0,0,BONNE CHANCE FARM LLC ,10.0,NEVERWALKALONE,20,8,,AGNES GOLD,SUNDAY SILENCE,REDATTORE,20250302.0,AQU,2.0,1320.0,5.0,3.0,5.0,5.0,5.0,4.0,88.0,N
CD ,20250426,2,3,1760,T,AO,100000.0,93.78,SHARP JOE,0,0,0,0,,0,0,0,ANTHONY TATE,5.0,LUCKY SPEECH,21,4,,AUDIBLE,INTO MISCHIEF,LOOKIN AT LUCKY,20241017.0,KEE,4.0,1870.0,10.0,2.0,3.0,3.0,6.0,8.0,81.0,A
