,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.1325,0.40225,0.01675,0.0975,0.09425,0.08475,0.05925,0.03425,0.0245,0.037,0.01025,0.0055,0.0,0.00125
2,0.14675,0.16225,0.0535,0.133,0.082,0.13275,0.21475,0.0395,0.008,0.024,0.0025,0.0005,0.0005,0.0
3,0.13625,0.10725,0.04,0.22075,0.174,0.11275,0.094,0.05925,0.022,0.024,0.00475,0.0015,0.0,0.0035
4,0.147,0.0645,0.0525,0.13725,0.097,0.1375,0.24425,0.06675,0.01175,0.0265,0.00575,0.0035,0.00025,0.0055
5,0.19425,0.0665,0.04675,0.13625,0.11,0.127,0.15225,0.087,0.03175,0.03375,0.00925,0.002,0.0,0.00325
6,0.08575,0.07775,0.06325,0.234,0.17775,0.107,0.1,0.08,0.0295,0.033,0.00775,0.00275,0.0,0.0015
7,0.15125,0.05825,0.05725,0.14425,0.08275,0.09975,0.328,0.04425,0.00525,0.02075,0.00325,0.00175,0.00125,0.002
8,0.1105,0.0805,0.0345,0.14775,0.16375,0.102,0.15325,0.06425,0.03875,0.04625,0.02025,0.017,0.00075,0.0205
9,0.17025,0.113,0.07,0.14675,0.08875,0.16525,0.12025,0.06925,0.02125,0.01975,0.006,0.003,0.00075,0.00575
10,0.13925,0.068,0.06175,0.12375,0.108,0.19275,0.12975,0.07325,0.013,0.06925,0.01075,0.004,0.0005,0.006
