track_code,race_date,race_number,post_position,entry,distance,surface_code,race_type,claiming_price_category,race_class,purse,trainer_name,trainer_starts,trainer_wins,trainer_places,trainer_shows,jockey_name,jockey_starts,jockey_wins,jockey_places,jockey_shows,owner_name,owner_silks,blank10,blank11,morning_line_odds
CD ,20250426,1,1,,1760,D,C,CUN,Clm 12500,45000,ESQUIVEL JESUS,0,0,0,0,MACHADO LUAN,,0,0,0,Royal blue; white 'L' in horseshoe; white blocks on sleeves; royal blue cap,,,1,4.0
CD ,20250426,1,2,,1760,D,C,CUN,Clm 12500,45000,ANTONUIK JERRY,0,0,0,0,RODRIGUEZ WALTER A,,0,0,0,Fuchsia and white halves; black and white diamonds; black and white diamonds on fuchsia and white op,,,2,30.0
CD ,20250426,1,3,,1760,D,C,CUN,Clm 12500,45000,HERNANDEZ REY,0,0,0,0,SANJUR SANTO,,0,0,0,Navy; yellow 'MJD' on green shamrock; green cap,,,3,8.0
CD ,20250426,1,4,,1760,D,C,CUN,Clm 12500,45000,GONZALEZ REINA E,0,0,0,0,GUTIERREZ MARIO,,0,0,0,Hunter green; purple cross sashes; black 'RG'; purple cap,,,4,15.0
CD ,20250426,1,5,,1760,D,C,CUN,Clm 12500,45000,COOK JASON B,0,0,0,0,MONCADA IRVING,5.0,0,0,0,White; red cardinal; red and black blocks on sleeves; white cap,,,5,5.0
CD ,20250426,1,6,,1760,D,C,CUN,Clm 12500,45000,KING BARRY L,0,0,0,0,LEPAROUX JULIEN R,,0,0,0,White; black 'BK'; white cap,,,6,20.0
CD ,20250426,1,7,,1760,D,C,CUN,Clm 12500,45000,JACOBSON DAVID,0,0,0,0,ORTIZ IRAD JR,,0,0,0,White; black diamond belt; red band on sleeves; red cap,,,7,3.5
CD ,20250426,1,8,,1760,D,C,CUN,Clm 12500,45000,STALL ALBERT M JR,0,0,0,0,SAEZ LUIS,,0,0,0,Red and gold stripes; red and gold quartered sleeves; red cap,,,8,3.0
CD ,20250426,1,9,,1760,D,C,CUN,Clm 12500,45000,CHAVEZ MANUEL,0,0,0,0,BARBOSA CARLOS,,0,0,0,Royal blue; yellow 'MANUEL CHAVEZ' and racehorse emblem; yellow lightning bolt on sleeves; royal blu,,,9,15.0
CD ,20250426,1,10,,1760,D,C,CUN,Clm 12500,45000,SHARP JOE,0,0,0,0,ORTIZ JOSE L,,0,0,0,White; black circled 'WW'; white chevrons on black sleeves; white cap,,,10,8.0
CD ,20250426,1,11,,1760,D,C,CUN,Clm 12500,45000,NORRIS MIKE,0,0,0,0,SAEZ GABRIEL,,0,0,0,White; American flag; red; white and blue sleeves; red cap,,,11,20.0
CD ,20250426,2,1,,1760,T,AO,BUM,OClm 100000n3x,141000,WALSH RYAN D,0,0,0,0,MORALES EDGAR,,0,0,0,Green; black blocks; black sleeves; green cap,,,1,20.0
CD ,20250426,2,2,,1760,T,AO,BUM,OClm 100000n3x,141000,LOBO PAULO H,0,0,0,0,MACHADO LUAN,,0,0,0,Blue and yellow diagonal stripes; white sleeves; blue cap,,,2,10.0
CD ,20250426,2,3,,1760,T,AO,BUM,OClm 100000n3x,141000,SHARP JOE,0,0,0,0,ORTIZ JOSE L,,0,0,0,Black; yellow circled 'T'; black cap,,,3,5.0
CD ,20250426,2,4,,1760,T,AO,BUM,OClm 100000n3x,141000,WILKES IAN R,0,0,0,0,SAEZ LUIS,,0,0,0,Green; blue emblem; white sleeves; green cap,,,4,3.0
CD ,20250426,2,5,,1760,T,AO,BUM,OClm 100000n3x,141000,MOTION H GRAHAM,0,0,0,0,ORTIZ IRAD JR,,0,0,0,White and light blue halves; white mountains and yellow sun emblem; light blue sleeves; light blue c,,,5,1.8
CD ,20250426,2,6,,1760,T,AO,BUM,OClm 100000n3x,141000,BAHENA ISMAEL,0,0,0,0,CALLEJA ANDRES,,0,0,0,Blue; blue 'IB' on white diamond; blue diamonds on white sleeves; blue cap,,,6,30.0
CD ,20250426,2,7,,1760,T,AO,BUM,OClm 100000n3x,141000,JOSEPH SAFFIE A JR,0,0,0,0,DETTORI LANFRANCO,,0,0,0,Green; peach cross sashes; peach dots on sleeves; green cap,,,7,2.0
CD ,20250426,3,1,,1540,D,R,BUM,Alw 30000s,62000,MEAH ANNA M,0,0,0,0,SAEZ LUIS,,0,0,0,White; gold emblem; gold cap,,,1,3.0
CD ,20250426,3,2,,1540,D,R,BUM,Alw 30000s,62000,HARTMAN CHRIS,0,0,0,0,CURTIS BEN,,0,0,0,Green; white 'WEN-MICK RACING' and emblem; green 'WM' and shamrocks on white sleeves; green and whit,,,2,5.0
CD ,20250426,3,3,,1540,D,R,BUM,Alw 30000s,62000,SIMS MATTHEW P,0,0,0,0,MACHADO LUAN,,0,0,0,Navy; orange 'SR'; orange cap,,,3,3.5
CD ,20250426,3,4,,1540,D,R,BUM,Alw 30000s,62000,MCCUTCHEN JASON,0,0,0,0,CANNON DECLAN,,0,0,0,Red; white stripes; white bars on sleeves; red cap,,,4,15.0
CD ,20250426,3,5,,1540,D,R,BUM,Alw 30000s,62000,BAHENA ISMAEL,0,0,0,0,CORRALES GERARDO,,0,0,0,Blue; blue 'IB' on white diamond; blue diamonds on white sleeves; blue cap,,,5,20.0
CD ,20250426,3,6,,1540,D,R,BUM,Alw 30000s,62000,HABEEB DONALD J,0,0,0,0,MONCADA IRVING,5.0,0,0,0,Purple; gold star; gold stars on sleeves; gold cap,,,6,15.0
CD ,20250426,3,7,,1540,D,R,BUM,Alw 30000s,62000,FOSTER ERIC,0,0,0,0,ORTIZ IRAD JR,,0,0,0,Yellow; red dots; red sleeves; yellow cap,,,7,2.5
CD ,20250426,3,8,,1540,D,R,BUM,Alw 30000s,62000,BAHENA ISMAEL,0,0,0,0,RODRIGUEZ WALTER A,,0,0,0,Blue; blue 'IB' on white diamond; blue diamonds on white sleeves; blue cap,,,8,4.0
CD ,20250426,4,1,,1320,D,A,BUM,Alw 127000n1x,127000,LUKAS D WAYNE,0,0,0,0,JUAREZ NIK,,0,0,0,Green; white dots; green cap,,,1,4.5
CD ,20250426,4,2,,1320,D,A,BUM,Alw 127000n1x,127000,STEWART DALLAS,0,0,0,0,HERNANDEZ B J JR,,0,0,0,White; white 'H' on black ball; black bars on sleeves; black cap,,,2,15.0
CD ,20250426,4,3,,1320,D,A,BUM,Alw 127000n1x,127000,WARD WESLEY A,0,0,0,0,ROSARIO JOEL,,0,0,0,Gold; gold 'BE' on navy ball; gold and navy vertically halved sleeves; gold cap,,,3,3.0
CD ,20250426,4,4,,1320,D,A,BUM,Alw 127000n1x,127000,BLAIR JORDAN,0,0,0,0,MACHADO LUAN,,0,0,0,Blue; white horse emblem and 'PRS'; white sleeves; blue cap,,,4,12.0
CD ,20250426,4,5,,1320,D,A,BUM,Alw 127000n1x,127000,FOLEY GREG,0,0,0,0,ORTIZ IRAD JR,,0,0,0,White; black circled 'DM'; black yoke; white bars on black sleeves; white cap,,,5,3.5
CD ,20250426,4,6,,1320,D,A,BUM,Alw 127000n1x,127000,DRURY THOMAS JR,0,0,0,0,SAEZ LUIS,,0,0,0,Black; cerise sash; cerise stripes on sleeves; black cap,,,6,2.0
CD ,20250426,4,7,,1320,D,A,BUM,Alw 127000n1x,127000,STALL ALBERT M JR,0,0,0,0,GEROUX FLORENT,,0,0,0,Royal blue; aquamarine chevron; aquamarine sleeves; royal blue cap,,,7,6.0
CD ,20250426,5,1,,1870,D,C,BUN,Clm 20000b,58000,WATKINS JAMES M,0,0,0,0,MCKEE J,,0,0,0,Blue; white diamonds; blue cap,,,1,15.0
CD ,20250426,5,2,,1870,D,C,BUN,Clm 20000b,58000,BLAIR JORDAN,0,0,0,0,SAEZ LUIS,,0,0,0,Blue; white horse emblem and 'PRS'; white sleeves; blue cap,,,2,4.0
CD ,20250426,5,3,,1870,D,C,BUN,Clm 20000b,58000,ASMUSSEN STEVEN M,0,0,0,0,ORTIZ JOSE L,,0,0,0,Royal blue and white halves; royal blue and white halved sleeves; white cap,,,3,5.0
CD ,20250426,5,4,,1870,D,C,BUN,Clm 20000b,58000,MAKER MICHAEL J,0,0,0,0,MACHADO LUAN,,0,0,0,Cerise; cerise 'DS' on black ball; black bars on sleeves; cerise cap,,,4,2.5
CD ,20250426,5,5,,1870,D,C,BUN,Clm 20000b,58000,ESQUIVEL JESUS,0,0,0,0,BESCHIZZA ADAM,,0,0,0,Royal blue; white 'L' in horseshoe; white blocks on sleeves; royal blue cap,,,5,8.0
CD ,20250426,5,6,,1870,D,C,BUN,Clm 20000b,58000,BAHENA ISMAEL,0,0,0,0,CORRALES GERARDO,,0,0,0,White; multicolored eagle; black bars on sleeves; white and black quartered cap,,,6,3.5
CD ,20250426,5,7,,1870,D,C,BUN,Clm 20000b,58000,SPICER JAMES T,0,0,0,0,NAVAS YOEL,,0,0,0,Grey; black 'TS' on blue block; blue blocks on sleeves; grey cap,,,7,5.0
CD ,20250426,5,8,,1870,D,C,BUN,Clm 20000b,58000,BARNETT BOBBY C,0,0,0,0,GRAHAM J,,0,0,0,White; red 'BB'; red emblem; white cap,,,8,20.0
CD ,20250426,5,9,,1870,D,C,BUN,Clm 20000b,58000,ORANTES JOSE,0,0,0,0,HERNANDEZ JANN N,,0,0,0,Royal blue; multicolored eagle; black bars on sleeves; royal blue and black quartered cap,,,9,20.0
