,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.17225,0.13,0.049,0.126,0.109,0.11325,0.09475,0.06325,0.04725,0.05925,0.02125,0.0135,0.0,0.00125
2,0.159,0.135,0.08725,0.1315,0.0815,0.14075,0.13875,0.0585,0.01525,0.04,0.00525,0.00375,0.00025,0.00325
3,0.11875,0.09175,0.073,0.14675,0.139,0.1395,0.112,0.09,0.02975,0.02925,0.013,0.00625,0.00325,0.00775
4,0.1345,0.08275,0.0645,0.1145,0.106,0.156,0.157,0.089,0.02625,0.034,0.01175,0.01275,0.00375,0.00725
5,0.157,0.0715,0.065,0.12475,0.09775,0.14225,0.1255,0.08575,0.04625,0.03725,0.019,0.01325,0.00375,0.011
6,0.10525,0.0865,0.06875,0.13025,0.15475,0.122,0.08875,0.0935,0.04925,0.05975,0.01825,0.00975,0.001,0.01225
7,0.17675,0.0875,0.07625,0.1465,0.10825,0.125,0.1365,0.068,0.02275,0.03175,0.011,0.003,0.001,0.00575
8,0.10725,0.0855,0.04975,0.1125,0.1325,0.112,0.11925,0.0745,0.051,0.058,0.03725,0.02525,0.0035,0.03175
9,0.1395,0.12225,0.09125,0.109,0.1025,0.17075,0.105,0.07875,0.028,0.025,0.01175,0.00825,0.00175,0.00625
10,0.132,0.0765,0.0835,0.107,0.1005,0.17525,0.10575,0.06925,0.03375,0.06825,0.01975,0.015,0.001,0.0125
