Track,Date,RaceNumber,Distance,Surface,RaceType,Jockey,Odds,HorseName,Sex,Color,WeightCarried,FinishPosition,PP1_FinishPosition,PP1_Distance,PP1_Surface,PP1_LengthsBack,PP1_NumStarters,PP1_Purse,PP1_Jockey,PP1_Trainer,PP2_FinishPosition,PP2_Distance,PP2_Surface,PP2_LengthsBack,PP2_NumStarters,PP2_Purse,PP2_Jockey,PP2_Trainer,PP3_FinishPosition,PP3_Distance,PP3_Surface,PP3_LengthsBack,PP3_NumStarters,PP3_Purse,PP3_Jockey,PP3_Trainer,PP4_FinishPosition,PP4_Distance,PP4_Surface,PP4_LengthsBack,PP4_NumStarters,PP4_Purse,PP4_Jockey,PP4_Trainer,PP5_FinishPosition,PP5_Distance,PP5_Surface,PP5_LengthsBack,PP5_NumStarters,PP5_Purse,PP5_Jockey,PP5_Trainer
CD ,20250515,1,1430,D,C,,BALLADRY,21,,CH,TAPWRIT,2.0,2.0,FT,1320.0,2.0,6.0,C,IND,4.0,8,FT,1320.0,8,8.0,C,TP,8.0,8,FT,1320.0,7.0,8.0,C,CD,7.0,2.0,FT,1320.0,2.0,6.0,C,CD,4.0,8.0,SY,1320.0,4.0,11.0,C,CD,7.0
CD ,20250515,1,1430,D,C,,WHERE'S THE WINE,21,,B,MITOLE,3.0,3.0,FM,-1760.0,4.0,9.0,C,FG,1.0,3,FM,-1760.0,3,9.0,C,FG,3.0,1,FT,1830.0,1.0,8.0,C,FG,7.0,6.0,FM,1760.0,7.0,9.0,A,IND,7.0,1.0,FM,1650.0,2.0,7.0,S,HAW,6.0
CD ,20250515,1,1430,D,C,,PRINCESS POM POM,20,,B,CAIRO PRINCE,1.0,1.0,FT,1320.0,2.0,8.0,C,FG,2.0,2,FT,1320.0,2,7.0,C,FG,3.0,4,FT,1210.0,6.0,6.0,C,FG,2.0,1.0,GD,1320.0,1.0,9.0,M,FG,9.0,9.0,FM,-1210.0,9.0,9.0,S,FG,4.0
CD ,20250515,1,1430,D,C,,ASK AMANDA,21,,B,SUMMER FRONT,7.0,7.0,FT,1540.0,7.0,8.0,R,CD,3.0,1,FT,1760.0,2,8.0,C,TP,6.0,4,FT,1760.0,2.0,9.0,C,TP,7.0,3.0,FT,1760.0,3.0,8.0,C,TP,9.0,5.0,FM,1870.0,4.0,9.0,A,KEE,6.0
CD ,20250515,1,1430,D,C,,SPIRIT RULES,21,,DKBBR,MOR SPIRIT,7.0,7.0,FT,1320.0,8.0,10.0,C,OP,5.0,5,FT,1320.0,2,10.0,C,OP,3.0,1,FT,1320.0,1.0,5.0,CO,DMR,8.0,1.0,FT,1210.0,1.0,6.0,M,DMR,2.0,3.0,FT,1210.0,2.0,6.0,M,SA,6.0
CD ,20250515,1,1430,D,C,,ITSABLINGTHING,20,,B,PONTIFF,8.0,8.0,FT,1210.0,8.0,8.0,C,TP,1.0,5,FT,1320.0,4,5.0,A,MVR,4.0,4,MY,1320.0,2.0,5.0,A,MVR,4.0,6.0,FT,1320.0,6.0,6.0,C,TP,1.0,8.0,FT,1540.0,8.0,8.0,C,CD,3.0
CD ,20250515,2,1100,D,S,,CHIQUITA'S WAY,23,,GR/RO,CROSS TRAFFIC,9.0,9.0,FT,990.0,9.0,10.0,S,KEE,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD ,20250515,2,1100,D,S,,SWIFTLIKETAYLOR,23,,B,CINCO CHARLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD ,20250515,2,1100,D,S,,COLOR COMIN' IN,23,,DKBBR,ROCK YOUR WORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD ,20250515,2,1100,D,S,,SHEZ TWISTED,23,,B,TWIRLING CANDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
