HorseName,RaceID,FinishPosition,Distance,Surface_Dirt,Surface_Turf,AvgPastFinishPosition,WinRate,DistanceSuitability,JockeyWinRate,FieldStrength,SurfaceWinRate
gormleyesque,CD-05-02-23-R01,2,0.3333333333333333,True,False,6.75,0.0,2.2,0.03333333333333333,7.013888888888888,0.0
kentucky reign,CD-05-02-23-R01,3,0.3333333333333333,True,False,8.0,0.0,2.0,0.1,7.013888888888888,0.0
dogwoodsmilliejane,CD-05-02-23-R01,1,0.3333333333333333,True,False,7.0,0.0,0.6,0.2,7.013888888888888,0.0
girls house,CD-05-02-23-R01,4,0.3333333333333333,True,False,4.4,0.0,0.9,0.18045112781954886,7.013888888888888,0.0
recite,CD-05-02-23-R01,5,0.3333333333333333,True,False,7.333333333333333,0.0,3.2,0.12,7.013888888888888,0.0
start class,CD-05-02-23-R01,6,0.3333333333333333,True,False,8.6,0.0,1.4,0.0,7.013888888888888,0.0
golden view,CD-05-02-23-R02,7,0.5333333333333333,True,False,7.5,0.0,6.1,0.18045112781954886,5.3500000000000005,0.0
luna moth,CD-05-02-23-R02,1,0.5333333333333333,True,False,4.6,0.0,0.4,0.13333333333333333,5.3500000000000005,0.0
rudimentary drink,CD-05-02-23-R02,4,0.5333333333333333,True,False,8.5,0.0,5.2,0.09210526315789473,5.3500000000000005,0.0
promisemeparadise,CD-05-02-23-R02,5,0.5333333333333333,True,False,4.0,0.0,7.2,0.16326530612244897,5.3500000000000005,0.0
plus power,CD-05-02-23-R02,8,0.5333333333333333,True,False,7.5,0.0,6.1,0.15384615384615385,5.3500000000000005,0.0
embraceable,CD-05-02-23-R02,6,0.5333333333333333,True,False,0.0,0.0,8.5,0.15,5.3500000000000005,0.0
musicmansandy,CD-05-02-23-R03,5,0.2,True,False,3.2,0.4,0.2,0.17307692307692307,4.257142857142857,0.4
sonador,CD-05-02-23-R03,3,0.2,True,False,4.8,0.2,1.0,0.0,4.257142857142857,0.2
electric sense,CD-05-02-23-R03,1,0.2,True,False,3.4,0.4,0.8,0.23809523809523808,4.257142857142857,0.4
bourbonwithginger,CD-05-02-23-R03,4,0.2,True,False,4.6,0.0,0.0,0.13333333333333333,4.257142857142857,0.0
acaciahelpme,CD-05-02-23-R03,2,0.2,True,False,3.8,0.0,0.6,0.09210526315789473,4.257142857142857,0.0
jackie flash,CD-05-02-23-R03,6,0.2,True,False,3.4,0.4,0.8,0.16326530612244897,4.257142857142857,0.4
domitia lucilla,CD-05-02-23-R03,7,0.2,True,False,6.6,0.2,1.0,0.1388888888888889,4.257142857142857,0.2
