RaceID,RaceNumber,PostTime,Distance,Surface,RaceType,Purse,HorseName,Jockey,Trainer,ProgramNumber,PP1_RaceID,PP1_RaceDate,PP1_Surface,PP1_Distance,PP1_Purse,PP1_NumStarters,PP1_FinishPosition,PP1_LengthsBackFinish,PP1_LengthsBackLastCall,PP1_StartPosition,PP1_LastCallPosition,PP1_Jockey,PP1_Trainer,PP2_RaceID,PP2_RaceDate,PP2_Surface,PP2_Distance,PP2_Purse,PP2_NumStarters,PP2_FinishPosition,PP2_LengthsBackFinish,PP2_LengthsBackLastCall,PP2_StartPosition,PP2_LastCallPosition,PP2_Jockey,PP2_Trainer,PP3_RaceID,PP3_RaceDate,PP3_Surface,PP3_Distance,PP3_Purse,PP3_NumStarters,PP3_FinishPosition,PP3_LengthsBackFinish,PP3_LengthsBackLastCall,PP3_StartPosition,PP3_LastCallPosition,PP3_Jockey,PP3_Trainer,PP4_RaceID,PP4_RaceDate,PP4_Surface,PP4_Distance,PP4_Purse,PP4_NumStarters,PP4_FinishPosition,PP4_LengthsBackFinish,PP4_LengthsBackLastCall,PP4_StartPosition,PP4_LastCallPosition,PP4_Jockey,PP4_Trainer,PP5_RaceID,PP5_RaceDate,PP5_Surface,PP5_Distance,PP5_Purse,PP5_NumStarters,PP5_FinishPosition,PP5_LengthsBackFinish,PP5_LengthsBackLastCall,PP5_StartPosition,PP5_LastCallPosition,PP5_Jockey,PP5_Trainer,DistanceYards
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Gormleyesque,Rodriguez,Catalano,1,KEE-2023-04-19-R3,2023-04-19,D,6.0,43000.0,11.0,4.0,550.0,550.0,1.0,4.0,Peterson,Catalano,TP-2023-03-25-R6,2023-03-25,D,6.0,70000.0,11.0,7.0,1550.0,1550.0,1.0,7.0,Loveberry,Catalano,TP-2023-02-15-R5,2023-02-15,D,6.5,70000.0,12.0,9.0,1750.0,1750.0,7.0,9.0,Mojica,Catalano,SAR-2022-08-04-R2,2022-08-04,T,5.5,105000.0,9.0,7.0,950.0,950.0,4.0,7.0,Saez,Catalano,,,,,,,,,,,,,,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Kentucky Reign,Navas,Colebrook,2,KEE-2023-04-19-R4,2023-04-19,T,8.0,100000.0,12.0,11.0,1860.0,1860.0,6.0,11.0,Navas,Colebrook,TP-2023-03-25-R6,2023-03-25,D,6.0,70000.0,11.0,10.0,2225.0,2225.0,7.0,10.0,Machado,Colebrook,CD-2022-08-13-R1,2022-08-13,D,6.0,120000.0,10.0,9.0,9999.0,9999.0,2.0,9.0,Corrales,Colebrook,ELP-2022-07-31-R2,2022-07-31,D,7.0,33000.0,8.0,2.0,175.0,175.0,6.0,2.0,Corrales,Colebrook,,,,,,,,,,,,,,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Toto'srubyslippers,Loveberry,Sims,3,KEE-2022-10-29-R1,2022-10-29,D,6.0,43000.0,7.0,3.0,475.0,475.0,5.0,3.0,Hernandez,Dunn,TP-2022-02-11-R10,2022-02-11,D,8.0,24000.0,11.0,8.0,1275.0,1275.0,11.0,8.0,Lezcano,Dunn,TP-2022-01-08-R8,2022-01-08,D,8.0,29000.0,12.0,8.0,805.0,805.0,11.0,8.0,Achard,Dunn,TP-2021-12-09-R5,2021-12-09,D,6.0,62000.0,12.0,10.0,2325.0,2325.0,11.0,10.0,Achard,Dunn,IND-2021-11-11-R6,2021-11-11,D,5.5,34000.0,7.0,5.0,1250.0,1250.0,7.0,5.0,Pompell,Dunn,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Dogwoodsmilliejane,Gilligan,Taylor,4,TP-2023-02-15-R3,2023-02-15,D,8.0,25000.0,11.0,6.0,1780.0,1780.0,11.0,6.0,Heard,Taylor,TP-2022-12-02-R1,2022-12-02,D,6.5,25000.0,8.0,7.0,765.0,765.0,7.0,7.0,Gilligan,Taylor,CD-2022-11-20-R4,2022-11-20,D,6.5,37000.0,9.0,5.0,685.0,685.0,9.0,5.0,Court,Taylor,KEE-2022-10-19-R2,2022-10-19,D,7.0,47000.0,9.0,9.0,1725.0,1725.0,6.0,9.0,Miller,Taylor,CD-2022-09-16-R1,2022-09-16,D,6.0,58000.0,8.0,8.0,850.0,850.0,8.0,8.0,Miller,Taylor,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Girls House,Saez,Cano,5,TP-2023-03-18-R7,2023-03-18,D,8.0,25000.0,9.0,6.0,240.0,240.0,4.0,6.0,Esquivel,Cano,TP-2023-02-25-R1,2023-02-25,D,8.0,30000.0,10.0,4.0,285.0,285.0,3.0,4.0,Esquivel,Cano,TP-2023-02-15-R3,2023-02-15,D,8.0,25000.0,11.0,2.0,400.0,400.0,1.0,2.0,Corrales,Cano,TP-2023-01-26-R2,2023-01-26,D,6.5,30000.0,9.0,6.0,1775.0,1775.0,4.0,6.0,Sanjur,Cano,TP-2022-12-28-R10,2022-12-28,D,8.0,30000.0,11.0,4.0,475.0,475.0,8.0,4.0,Sanjur,Cano,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Recite,Morales,Pitts,6,TP-2023-03-30-R4,2023-03-30,D,6.5,30000.0,12.0,11.0,1355.0,1355.0,8.0,11.0,Morales,Pitts,TP-2023-02-09-R8,2023-02-09,D,6.0,30000.0,11.0,8.0,2225.0,2225.0,8.0,8.0,Talamo,Pitts,TP-2023-01-18-R8,2023-01-18,D,6.5,30000.0,12.0,3.0,575.0,575.0,9.0,3.0,Cannon,Pitts,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0
SIMD20230502CD_USA_R1,1,12:45PM,7.0,Dirt,MAIDEN CLAIMING,30000.0,Start Class,Miranda,Medley,7,TP-2022-12-01-R1,2022-12-01,D,8.0,19000.0,11.0,8.0,1985.0,1985.0,10.0,8.0,Canuto,Medley,CD-2022-11-03-R5,2022-11-03,D,8.0,37000.0,12.0,11.0,3450.0,3450.0,9.0,11.0,Riquelme,Medley,CD-2022-09-18-R1,2022-09-18,D,7.0,42000.0,7.0,7.0,2575.0,2575.0,7.0,7.0,Riquelme,Medley,CD-2022-07-01-R1,2022-07-01,D,8.0,50000.0,7.0,7.0,3985.0,3985.0,6.0,7.0,Bailey,Medley,CD-2022-05-29-R3,2022-05-29,T,11.0,120000.0,10.0,10.0,6100.0,6100.0,0.0,10.0,Peterson,Medley,1540.0
SIMD20230502CD_USA_R2,2,1:14PM,8.5,Dirt,MAIDEN CLAIMING,50000.0,Golden View,Saez,Kenneally,1,FG-2023-03-25-R6,2023-03-25,D,6.0,75000.0,12.0,12.0,2125.0,2125.0,1.0,12.0,Gutierrez,Kenneally,FG-2023-01-21-R2,2023-01-21,D,6.0,65000.0,6.0,3.0,200.0,200.0,1.0,3.0,Lanerie,Kenneally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.0
SIMD20230502CD_USA_R2,2,1:14PM,8.5,Dirt,MAIDEN CLAIMING,50000.0,Party At Grants,Lanerie,Forster,2,MVR-2023-03-16-R1,2023-03-16,D,8.0,24300.0,5.0,3.0,625.0,625.0,5.0,3.0,Bracho,Waltz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.0
SIMD20230502CD_USA_R2,2,1:14PM,8.5,Dirt,MAIDEN CLAIMING,50000.0,Luna Moth,Machado,"Simms, Jr.",3,KEE-2023-04-19-R4,2023-04-19,T,8.0,100000.0,12.0,9.0,1060.0,1060.0,11.0,9.0,Machado,"Simms, Jr.",TP-2023-03-09-R8,2023-03-09,D,8.5,70000.0,10.0,4.0,375.0,375.0,2.0,4.0,Machado,"Simms, Jr.",TP-2023-02-22-R8,2023-02-22,D,8.0,70000.0,10.0,4.0,575.0,575.0,7.0,4.0,Machado,"Simms, Jr.",TP-2023-01-25-R5,2023-01-25,D,8.0,70000.0,11.0,3.0,150.0,150.0,5.0,3.0,Chirinos,"Simms, Jr.",TP-2022-12-29-R7,2022-12-29,D,8.0,70000.0,10.0,3.0,725.0,725.0,1.0,3.0,Chirinos,"Simms, Jr.",1870.0
