race_id,horse,jockey,trainer,program_number,surface_x,distance_f,purse_x,rerecent_race_id_1,recent_finish_pos_1,recent_lengths_back_finish_1,recent_lengths_back_last_call_1,recent_last_call_pos_1,recent_surface_1,recent_distance_1,recent_date_1,recent_purse_1,recent_start_pos_1,recent_num_starters_1,recent_jockey_1,recent_trainer_1,rerecent_race_id_2,recent_finish_pos_2,recent_lengths_back_finish_2,recent_lengths_back_last_call_2,recent_last_call_pos_2,recent_surface_2,recent_distance_2,recent_date_2,recent_purse_2,recent_start_pos_2,recent_num_starters_2,recent_jockey_2,recent_trainer_2,rerecent_race_id_3,recent_finish_pos_3,recent_lengths_back_finish_3,recent_lengths_back_last_call_3,recent_last_call_pos_3,recent_surface_3,recent_distance_3,recent_date_3,recent_purse_3,recent_start_pos_3,recent_num_starters_3,recent_jockey_3,recent_trainer_3,rerecent_race_id_4,recent_finish_pos_4,recent_lengths_back_finish_4,recent_lengths_back_last_call_4,recent_last_call_pos_4,recent_surface_4,recent_distance_4,recent_date_4,recent_purse_4,recent_start_pos_4,recent_num_starters_4,recent_jockey_4,recent_trainer_4,rerecent_race_id_5,recent_finish_pos_5,recent_lengths_back_finish_5,recent_lengths_back_last_call_5,recent_last_call_pos_5,recent_surface_5,recent_distance_5,recent_date_5,recent_purse_5,recent_start_pos_5,recent_num_starters_5,recent_jockey_5,recent_trainer_5,horse_normalized,jockey_normalized,track_code,track_name,race_date,race_number,race_type,purse_y,distance,dist_unit,course_desc,surface_y,class_rating,trk_cond,weather,win_time,par_time,horse_name,weight,age,sex_code,dollar_odds,program_num,post_pos,start_position,official_finish,speed_rating,win_payoff,place_payoff,show_payoff,claim_price,jockey_first_name,jockey_last_name,poc_1_position,poc_1_lengths,poc_2_position,poc_2_lengths,poc_3_position,poc_3_lengths,poc_4_position,poc_4_lengths,poc_5_position,poc_5_lengths,poc_FINAL_position,poc_FINAL_lengths,horse_name_normalized,jockey_first_name_normalized,jockey_last_name_normalized,jockey_full_normalized
CD-05-02-23-R01,Gormleyesque,Rodriguez,Catalano,1,D,7.0,30000.0,KEE-2023-04-00-R03,4.0,550.0,10.0,2,D,6.0,2023-04-19,43000.0,1,11,Peterson,Catalano,TP-2023-03-00-R06,7.0,1550.0,670.0,6,D,6.0,2023-03-25,70000.0,1,11,Loveberry,Catalano,TP-2023-02-00-R05,9.0,1750.0,270.0,4,D,6.5,2023-02-15,70000.0,7,12,Mojica,Catalano,SAR-2022-08-00-R02,7.0,950.0,410.0,5,T,5.5,2022-08-04,105000.0,4,9,Saez,Catalano,,,,,-1,,,,,-1,-1,,,gormleyesque,rodriguez,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Gormleyesque,113.0,3.0,F,2.73,1.0,1.0,1.0,2.0,71.0,0.0,3.84,2.94,10000.0,Walter,Rodriguez,2.0,1.5,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.8,gormleyesque,walter,rodriguez,walter rodriguez
CD-05-02-23-R01,Kentucky Reign,Navas,Colebrook,2,D,7.0,30000.0,KEE-2023-04-00-R04,11.0,1860.0,1310.0,11,T,8.0,2023-04-19,100000.0,6,12,Navas,Colebrook,TP-2023-03-00-R06,10.0,2225.0,1320.0,10,D,6.0,2023-03-25,70000.0,7,11,Machado,Colebrook,CD-2022-08-00-R01,9.0,9999.0,1110.0,7,D,6.0,2022-08-13,120000.0,2,10,Corrales,Colebrook,ELP-2022-07-00-R02,2.0,175.0,10.0,1,D,7.0,2022-07-31,33000.0,6,8,Corrales,Colebrook,,,,,-1,,,,,-1,-1,,,kentucky reign,navas,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Kentucky Reign,108.0,3.0,F,2.26,2.0,2.0,2.0,3.0,65.0,0.0,0.0,2.9,10000.0,Yoel,Navas,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,3.0,5.0,kentucky reign,yoel,navas,yoel navas
CD-05-02-23-R01,Toto'srubyslippers,Loveberry,Sims,3,D,7.0,30000.0,KEE-2022-10-00-R01,3.0,475.0,250.0,2,D,6.0,2022-10-29,43000.0,5,7,Hernandez,Dunn,TP-2022-02-00-R10,8.0,1275.0,1060.0,10,D,8.0,2022-02-11,24000.0,11,11,Lezcano,Dunn,TP-2022-01-00-R08,8.0,805.0,320.0,7,D,8.0,2022-01-08,29000.0,11,12,Achard,Dunn,TP-2021-12-00-R05,10.0,2325.0,1080.0,9,D,6.0,2021-12-09,62000.0,11,12,Achard,Dunn,IND-2021-11-00-R06,5.0,1250.0,500.0,4,D,5.5,2021-11-11,34000.0,7,7,Pompell,Dunn,totosrubyslippers,loveberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-05-02-23-R01,Dogwoodsmilliejane,Gilligan,Taylor,4,D,7.0,30000.0,TP-2023-02-00-R03,6.0,1780.0,510.0,6,D,8.0,2023-02-15,25000.0,11,11,Heard,Taylor,TP-2022-12-00-R01,7.0,765.0,310.0,6,D,6.5,2022-12-02,25000.0,7,8,Gilligan,Taylor,CD-2022-11-00-R04,5.0,685.0,650.0,5,D,6.5,2022-11-20,37000.0,9,9,Court,Taylor,KEE-2022-10-00-R02,9.0,1725.0,970.0,9,D,7.0,2022-10-19,47000.0,6,9,Miller,Taylor,CD-2022-09-00-R01,8.0,850.0,1160.0,8,D,6.0,2022-09-16,58000.0,8,8,Miller,Taylor,dogwoodsmilliejane,gilligan,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Dogwoodsmilliejane,124.0,4.0,M,12.8,4.0,3.0,6.0,1.0,74.0,27.6,6.48,3.6,10000.0,Jack,Gilligan,4.0,5.0,4.0,2.5,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,dogwoodsmilliejane,jack,gilligan,jack gilligan
CD-05-02-23-R01,Girls House,Saez,Cano,5,D,7.0,30000.0,TP-2023-03-00-R07,6.0,240.0,60.0,3,D,8.0,2023-03-18,25000.0,4,9,Esquivel,Cano,TP-2023-02-00-R01,4.0,285.0,10.0,2,D,8.0,2023-02-25,30000.0,3,10,Esquivel,Cano,TP-2023-02-00-R03,2.0,400.0,10.0,1,D,8.0,2023-02-15,25000.0,1,11,Corrales,Cano,TP-2023-01-00-R02,6.0,1775.0,1150.0,7,D,6.5,2023-01-26,30000.0,4,9,Sanjur,Cano,TP-2022-12-00-R10,4.0,475.0,560.0,5,D,8.0,2022-12-28,30000.0,8,11,Sanjur,Cano,girls house,saez,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Girls House,124.0,4.0,M,1.11,5.0,4.0,4.0,4.0,64.0,0.0,0.0,0.0,10000.0,Gabriel,Saez,3.0,3.5,3.0,2.0,0.0,0.0,0.0,0.0,4.0,2.5,4.0,5.5,girls house,gabriel,saez,gabriel saez
CD-05-02-23-R01,Recite,Morales,Pitts,6,D,7.0,30000.0,TP-2023-03-00-R04,11.0,1355.0,930.0,12,D,6.5,2023-03-30,30000.0,8,12,Morales,Pitts,TP-2023-02-00-R08,8.0,2225.0,860.0,7,D,6.0,2023-02-09,30000.0,8,11,Talamo,Pitts,TP-2023-01-00-R08,3.0,575.0,520.0,7,D,6.5,2023-01-18,30000.0,9,12,Cannon,Pitts,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,recite,morales,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Recite,118.0,3.0,F,15.07,6.0,5.0,3.0,5.0,43.0,0.0,0.0,0.0,10000.0,Edgar,Morales,5.0,7.0,5.0,4.5,0.0,0.0,0.0,0.0,5.0,6.0,5.0,16.5,recite,edgar,morales,edgar morales
CD-05-02-23-R01,Start Class,Miranda,Medley,7,D,7.0,30000.0,TP-2022-12-00-R01,8.0,1985.0,1010.0,8,D,8.0,2022-12-01,19000.0,10,11,Canuto,Medley,CD-2022-11-00-R05,11.0,3450.0,2500.0,10,D,8.0,2022-11-03,37000.0,9,12,Riquelme,Medley,CD-2022-09-00-R01,7.0,2575.0,1950.0,7,D,7.0,2022-09-18,42000.0,7,7,Riquelme,Medley,CD-2022-07-00-R01,7.0,3985.0,2210.0,7,D,8.0,2022-07-01,50000.0,6,7,Bailey,Medley,CD-2022-05-00-R03,10.0,6100.0,2970.0,10,T,11.0,2022-05-29,120000.0,0,10,Peterson,Medley,start class,miranda,CD,CHURCHILL DOWNS,2023-05-02,1.0,Maiden Claiming,30000.0,700.0,F,Dirt,D,77.0,FT,Clear,85.84,84.39,Start Class,124.0,4.0,M,31.16,7.0,6.0,5.0,6.0,40.0,0.0,0.0,0.0,10000.0,Rogelio,Miranda,6.0,8.5,6.0,8.5,0.0,0.0,0.0,0.0,6.0,10.0,6.0,18.0,start class,rogelio,miranda,rogelio miranda
CD-05-02-23-R02,Golden View,Saez,Kenneally,1,D,8.5,50000.0,FG-2023-03-00-R06,12.0,2125.0,1380.0,12,D,6.0,2023-03-25,75000.0,1,12,Gutierrez,Kenneally,FG-2023-01-00-R02,3.0,200.0,10.0,1,D,6.0,2023-01-21,65000.0,1,6,Lanerie,Kenneally,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,golden view,saez,CD,CHURCHILL DOWNS,2023-05-02,2.0,Maiden Claiming,50000.0,850.0,F,Dirt,D,76.0,FT,Clear,106.62,106.26,Golden View,118.0,3.0,F,2.89,1.0,1.0,1.0,7.0,37.0,0.0,0.0,0.0,30000.0,Luis,Saez,4.0,1.6,3.0,2.0,5.0,2.2,0.0,0.0,6.0,9.6,7.0,25.8,golden view,luis,saez,luis saez
CD-05-02-23-R02,Party At Grants,Lanerie,Forster,2,D,8.5,50000.0,MVR-2023-03-00-R01,3.0,625.0,450.0,3,D,8.0,2023-03-16,24300.0,5,5,Bracho,Waltz,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,,,,,-1,,,,,-1,-1,,,party at grants,lanerie,CD,CHURCHILL DOWNS,2023-05-02,2.0,Maiden Claiming,50000.0,850.0,F,Dirt,D,76.0,FT,Clear,106.62,106.26,dh-Party At Grants,118.0,3.0,F,4.03,2.0,2.0,6.0,2.0,74.0,0.0,2.74,3.08,30000.0,Corey,Lanerie,6.0,3.6,6.0,4.1,6.0,3.2,0.0,0.0,3.0,2.5,2.0,2.0,party at grants,corey,lanerie,corey lanerie
CD-05-02-23-R02,Luna Moth,Machado,"Simms, Jr.",3,D,8.5,50000.0,KEE-2023-04-00-R04,9.0,1060.0,1010.0,10,T,8.0,2023-04-19,100000.0,11,12,Machado,"Simms, Jr.",TP-2023-03-00-R08,4.0,375.0,290.0,8,D,8.5,2023-03-09,70000.0,2,10,Machado,"Simms, Jr.",TP-2023-02-00-R08,4.0,575.0,420.0,5,D,8.0,2023-02-22,70000.0,7,10,Machado,"Simms, Jr.",TP-2023-01-00-R05,3.0,150.0,20.0,3,D,8.0,2023-01-25,70000.0,5,11,Chirinos,"Simms, Jr.",TP-2022-12-00-R07,3.0,725.0,460.0,4,D,8.0,2022-12-29,70000.0,1,10,Chirinos,"Simms, Jr.",luna moth,machado,CD,CHURCHILL DOWNS,2023-05-02,2.0,Maiden Claiming,50000.0,850.0,F,Dirt,D,76.0,FT,Clear,106.62,106.26,Luna Moth,118.0,3.0,F,3.74,3.0,3.0,2.0,1.0,77.0,9.48,3.6,3.06,30000.0,Luan,Machado,5.0,3.1,5.0,4.0,3.0,1.1,0.0,0.0,1.0,0.0,1.0,0.0,luna moth,luan,machado,luan machado
