race_num,distance,purse,horse_name,surface_code,trainer_name,trainer_roi,jockey_name,horse_id,surface_id,jockey_id,trainer_id
1,1430,60000,BALLADRY,D,PITTS,ROCCO J S JR,ROCCO,6562.0,1,63.0,39.0
1,1430,60000,WHERE'S THE WINE,D,CATALANO,LOVEBERRY JARETH,LOVEBERRY,6736.0,1,84.0,553.0
1,1430,60000,PRINCESS POM POM,D,FORSTER,LANERIE C J,LANERIE,4804.0,1,65.0,898.0
1,1430,60000,ASK AMANDA,D,BAHENA,PEDROZA MARCELINO,PEDROZA,5051.0,1,6.0,867.0
1,1430,60000,SPIRIT RULES,D,SANTAMARIA,SAEZ GABRIEL,SAEZ,5296.0,1,42.0,106.0
1,1430,60000,ITSABLINGTHING,D,BARRETT,MILLER CHASE,MILLER,7750.0,1,13.0,344.0
2,1100,120000,CHIQUITA'S WAY,D,ESQUIVEL,SAEZ GABRIEL,SAEZ,4500.0,1,42.0,137.0
2,1100,120000,SWIFTLIKETAYLOR,D,ASMUSSEN,ASMUSSEN ERIK,ASMUSSEN,1966.0,1,58.0,790.0
2,1100,120000,COLOR COMIN' IN,D,CASSE,SAEZ LUIS,SAEZ,6798.0,1,42.0,386.0
2,1100,120000,SHEZ TWISTED,D,RIVELLI,LOVEBERRY JARETH,LOVEBERRY,1194.0,1,84.0,986.0
2,1100,120000,RATHER LATE,D,HANCOCK,CORRALES GERARDO,CORRALES,1480.0,1,23.0,837.0
2,1100,120000,AMERICATHEGREAT,D,CASSE,ORTIZ JOSE L,ORTIZ,4701.0,1,94.0,386.0
2,1100,120000,MI AMIGA,D,ASMUSSEN,ASMUSSEN KEITH J,ASMUSSEN,4187.0,1,49.0,790.0
2,1100,120000,NANZIG,D,ENNIS,MACHADO LUAN,MACHADO,8890.0,1,20.0,429.0
3,1100,120000,LUCY MCGEE,T,LOVELL,CONCEPCION AXEL,CONCEPCION,1205.0,2,98.0,280.0
3,1100,120000,CLAIRE'S RUN,T,BAUER,GARCIA MARTIN,GARCIA,999.0,2,28.0,165.0
3,1100,120000,SHE WANTS WAR,T,WARD,CORRALES GERARDO,CORRALES,4387.0,2,23.0,228.0
3,1100,120000,BOUJEE BEACH,T,MILLER,TORRES CRISTIAN A,TORRES,9018.0,2,44.0,170.0
3,1100,120000,DEBT FREE,T,DEVAUX,HERNANDEZ B J JR,HERNANDEZ,4641.0,2,36.0,257.0
3,1100,120000,PARTY PAULINE,T,HARTMAN,MACHADO LUAN,MACHADO,7044.0,2,20.0,199.0
3,1100,120000,RUNNING GAME,T,SHARP,ORTIZ JOSE L,ORTIZ,7658.0,2,94.0,771.0
3,1100,120000,GREY MATTER,T,BALTAS,SAEZ LUIS,SAEZ,6181.0,2,42.0,143.0
3,1100,120000,DIVINE WIND,T,ARNOLD,MORALES EDGAR,MORALES,3778.0,2,78.0,29.0
3,1100,120000,SYCAMORE SHOALS,T,WALSH,CURTIS BEN,CURTIS,3131.0,2,12.0,244.0
3,1100,120000,FORBIDDEN FRIEND,T,OLIVER,TORRES JAIME A,TORRES,5882.0,2,44.0,143.0
3,1100,120000,SOMETHING STRONGER,T,STALL,GRAHAM J,GRAHAM,1883.0,2,55.0,455.0
3,1100,120000,MAERDAMA,T,JOSEPH,ORTIZ JOSE L,ORTIZ,4832.0,2,94.0,150.0
3,1100,120000,STAGE PRESENCE,T,KENNEALLY,CURTIS BEN,CURTIS,9350.0,2,81.0,345.0
3,1100,120000,SPINNING GLORY,T,RIVELLI,LOVEBERRY JARETH,LOVEBERRY,3630.0,2,84.0,986.0
