jockey_name,jockey_id
Rodriguez,58
Navas,74
Loveberry,84
Gilligan,25
Saez,42
Morales,78
Miranda,61
Lanerie,65
Machado,20
"Hernandez, Jr.",8
Talamo,98
Gaffalione,14
Torres,44
Bejarano,11
Padron-Barcenas,91
Velazquez,83
Corrales,23
Landeros,6
Gutierrez,32
Vazquez,57
Geroux,79
"Mojica, Jr.",68
Cheminaud,67
Aragon,21
"Santana, Jr.",47
"Ortiz, Jr.",48
Emigh,37
Peterson,50
Prat,53
Leparoux,86
Wiseman,7
Beckman,43
Jimenez,9
Beschizza,76
Miller,13
Hernandez,36
Riquelme,69
Arrieta,95
Maldonado,19
Achard,17
"Rocco, Jr.",97
Graham,55
Cannon,96
Hughes,39
Rosario,10
Correa,22
Alvarado,81
Elliott,38
Cohen,56
Michel,54
Castellano,82
Bravo,90
Ortiz,94
De La Cruz,45
Leon,71
Ramos,26
Castanon,66
Rispoli,93
Barzalona,52
"Vargas, Jr.",88
Franco,63
Lemaire,92
Lopez,70
Sakai,46
Kimura,34
Marcano,40
Garcia,28
Esquivel,59
Reyes,12
Mojica,1
Burgos,30
Murrill,49
Castillo,33
Court,77
Parker,85
Calleja,16
McEntee,72
"Pedroza, Jr.",89
Franklin,5
Heard,41
Stevens,3
Lezcano,27
McKee,4
Romero,35
Ulloa,64
