,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.842375,0.706,0.08075,0.01725,0.028125,0.031,0.078,0.100625,0.0615,0.0375,0.00975,0.00075,0.0005,0.005875
2,0.08125,0.095,0.717875,0.274,0.030875,0.472875,0.32275,0.002625,0.0,0.00175,0.0005,0.0,0.0,0.0005
3,0.06925,0.123125,0.145375,0.91875,0.340875,0.160875,0.1455,0.068625,0.008,0.009,0.004625,0.0045,0.001,0.0005
4,0.061375,0.117875,0.152,0.04275,0.11775,0.663875,0.72275,0.10375,0.00475,0.007375,0.00525,0.00025,0.0,0.00025
5,0.879,0.093,0.046625,0.149625,0.080125,0.119125,0.2,0.3025,0.105125,0.017375,0.004125,0.001625,0.00075,0.001
6,0.029125,0.023375,0.177875,0.998625,0.543375,0.052125,0.0645,0.01275,0.02025,0.042125,0.03225,0.00125,0.0005,0.001875
7,0.364,0.052125,0.660375,0.463375,0.03225,0.020875,0.373625,0.028375,0.000875,0.001375,0.00175,0.0,0.0,0.001
8,0.08475,0.15375,0.105875,0.158125,0.29375,0.11025,0.43275,0.129625,0.187625,0.107,0.152375,0.042875,0.000125,0.041125
9,0.045,0.250625,0.485625,0.030125,0.05725,0.8245,0.148875,0.13275,0.0065,0.012,0.004125,0.000625,0.00075,0.00125
10,0.1035,0.12325,0.18675,0.043875,0.051125,0.765125,0.177375,0.2025,0.0405,0.2645,0.034875,0.00625,0.0,0.000375
