,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.908125,0.824875,0.1795,0.055625,0.098125,0.108625,0.22025,0.277375,0.144625,0.106125,0.04275,0.005625,0.00275,0.025625
2,0.1775,0.2455,0.851375,0.495875,0.088125,0.611625,0.496875,0.01975,0.000375,0.006125,0.0035,0.000125,0.00025,0.003
3,0.149375,0.251,0.27325,0.9575,0.51425,0.313,0.282875,0.163375,0.02575,0.031375,0.015375,0.016125,0.002125,0.004625
4,0.141875,0.275125,0.269,0.095625,0.25025,0.81825,0.844875,0.237875,0.020375,0.018875,0.02025,0.0045,0.0005,0.002625
5,0.928,0.208,0.10675,0.2635,0.1705,0.233125,0.361375,0.48275,0.1855,0.035875,0.012625,0.00275,0.003,0.00625
6,0.09125,0.07675,0.392,0.999875,0.735625,0.150375,0.170125,0.052125,0.08025,0.132125,0.095875,0.010625,0.003625,0.009375
7,0.563125,0.140375,0.816875,0.67725,0.081375,0.061,0.5615,0.078125,0.00325,0.00575,0.007,0.000625,0.001125,0.002625
8,0.132625,0.2405,0.163375,0.2345,0.412375,0.188875,0.561375,0.212875,0.2795,0.180375,0.242,0.072125,0.001875,0.077625
9,0.110625,0.4705,0.66025,0.06575,0.132875,0.904125,0.305,0.270125,0.01925,0.034125,0.014125,0.00525,0.00075,0.00725
10,0.1865,0.25625,0.297375,0.07775,0.09775,0.837375,0.30275,0.344125,0.102875,0.40625,0.0705,0.01725,0.000625,0.002625
