,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.199125,0.03225,0.234125,0.04975,0.033125,0.142875,0.08525,0.196875,0.00125,0.02475,0.000625,0.0,0.0,0.0
2,0.0295,0.021875,0.151875,0.158125,0.2725,0.118625,0.245125,0.002,0.0,0.000375,0.0,0.0,0.0,0.0
3,0.264875,0.257625,0.259375,0.0085,0.005875,0.044375,0.122875,0.03625,0.0,0.000125,0.000125,0.0,0.0,0.0
4,0.104875,0.008125,0.270625,0.033,0.19925,0.29275,0.08675,0.004625,0.0,0.0,0.0,0.0,0.0,0.0
5,0.007125,0.120375,0.0655,0.221125,0.054375,0.420375,0.108875,0.002125,0.000125,0.0,0.0,0.0,0.0,0.0
6,0.18975,0.062,0.112625,0.3175,0.085,0.0565,0.062125,0.003375,0.001,0.0555,0.0545,0.0,0.000125,0.0
7,0.0115,0.300125,0.048625,0.224375,0.09,0.23175,0.010625,0.083,0.0,0.0,0.0,0.0,0.0,0.0
8,0.331125,0.210125,0.052375,0.245,0.008,0.03225,0.022,0.060125,0.002625,0.0145,0.020875,0.0005,0.0,0.0005
9,0.085,0.45175,0.089125,0.036,0.0475,0.15075,0.0325,0.107375,0.0,0.0,0.0,0.0,0.0,0.0
10,0.404375,0.022125,0.365875,0.029625,0.010625,0.02375,0.026875,0.0875,0.008625,0.02025,0.000375,0.0,0.0,0.0
