,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.241,0.058375,0.504125,0.08675,0.084625,0.236,0.144125,0.5345,0.016875,0.065625,0.006,0.006625,0.002875,0.0125
2,0.053375,0.0415,0.428625,0.205625,0.551375,0.202375,0.495625,0.0105,0.000375,0.003,0.00075,0.00025,0.0015,0.005125
3,0.384875,0.243875,0.739125,0.027875,0.016375,0.0795,0.30825,0.18675,0.00375,0.004375,0.00075,0.00025,0.000375,0.003875
4,0.1265,0.015375,0.707,0.0385,0.411125,0.426875,0.252625,0.018375,0.000375,0.0005,0.000125,0.0,0.000125,0.0025
5,0.026125,0.176625,0.208,0.374125,0.1745,0.682125,0.346,0.006625,0.000375,0.003125,0.00075,0.0005,0.00025,0.000875
6,0.2815,0.12325,0.334,0.488125,0.247875,0.116625,0.1545,0.018375,0.025,0.1115,0.07,0.005125,0.007125,0.017
7,0.026625,0.324125,0.0755,0.44475,0.27525,0.426375,0.035875,0.379125,0.00075,0.002,0.00075,0.002,0.00125,0.005625
8,0.549,0.246625,0.122625,0.453375,0.03925,0.0665,0.06175,0.224625,0.04975,0.0605,0.082125,0.0115,0.007125,0.02525
9,0.194375,0.46125,0.208125,0.072125,0.1225,0.332375,0.07225,0.52275,0.004,0.0015,0.001875,0.000375,0.000375,0.006125
10,0.532,0.035375,0.848,0.05225,0.02475,0.05325,0.069125,0.283,0.039625,0.045125,0.011375,0.00225,0.00125,0.002625
