HorseName,RaceNumber,Age2025,PostPosition,OddsNumeric,JockeyName,TrainerName,FoalingDate,OfficialFinish
Gormleyesque,1,5.193702943189596,1,1.6,Walter Rodriguez,Wayne Catalano,2020-02-20+00:00,2
Kentucky Reign,1,5.270362765229295,2,8.0,Yoel Navas,Ben Colebrook,2020-01-23+00:00,3
Dogwoodsmilliejane,1,6.031485284052019,4,12.0,Jack Gilligan,Alvin Taylor,2019-04-20+00:00,1
Girls House,1,6.182067077344285,5,1.2,Gabriel Saez,Juan Cano,2019-02-24+00:00,4
Recite,1,5.163586584531143,6,15.0,Edgar Morales,Helen Pitts,2020-03-02+00:00,5
Start Class,1,6.146475017111568,7,30.0,Rogelio Miranda,Joseph Medley,2019-03-09+00:00,6
Golden View,2,5.158110882956879,1,3.0,Luis Saez,Eddie Kenneally,2020-03-04+00:00,7
Luna Moth,2,4.908966461327857,3,3.5,Luan Machado,"Mark Simms, Jr.",2020-06-03+00:00,1
Rudimentary Drink,2,5.045859000684462,4,4.0,"Brian Hernandez, Jr.",Kenneth McPeek,2020-04-14+00:00,4
Promisemeparadise,2,5.177275838466803,6,5.0,Tyler Gaffalione,Dale Romans,2020-02-26+00:00,5
Plus Power,2,5.193702943189596,7,12.0,Cristian Torres,Mark Casse,2020-02-20+00:00,8
Embraceable,2,5.040383299110198,8,12.0,Julien Leparoux,Kenneth McPeek,2020-04-16+00:00,6
Musicmansandy,3,5.169062286105407,1,2.5,Rafael Bejarano,Norman Cash,2020-02-29+00:00,5
Sonador,3,6.201232032854209,2,4.0,Javier Padron-Barcenas,Rey Hernandez,2019-02-17+00:00,3
Electric Sense,3,4.971937029431896,3,3.5,John Velazquez,Jason Barkley,2020-05-11+00:00,1
Bourbonwithginger,3,6.146475017111568,4,15.0,Luan Machado,Jennifer Tooley,2019-03-09+00:00,4
Acaciahelpme,3,6.2121834360027375,5,6.0,"Brian Hernandez, Jr.","Robert O'Connor, II",2019-02-13+00:00,2
Jackie Flash,3,6.113620807665982,6,4.5,Tyler Gaffalione,Steven Asmussen,2019-03-21+00:00,6
Domitia Lucilla,3,6.225872689938399,7,5.0,Gerardo Corrales,Richard Estvanko,2019-02-08+00:00,7
Wilmore,4,7.175906913073238,1,20.0,Yoel Navas,Greg Begley,2018-02-26+00:00,6
Tap the Line,4,7.112936344969199,2,15.0,Jareth Loveberry,Michael Lauer,2018-03-21+00:00,4
Beach Kitten,4,6.146475017111568,3,15.0,Edgar Morales,Jerome Miller,2019-03-09+00:00,8
I'mherefortheparty,4,5.259411362080766,4,2.5,Luis Saez,Eddie Kenneally,2020-01-27+00:00,1
Fast Gal,4,5.065023956194388,5,8.0,Chris Landeros,Dale Romans,2020-04-07+00:00,5
More Romance,4,7.08829568788501,6,6.0,Corey Lanerie,Marianne Scherer,2018-03-30+00:00,3
Dre Me Less,4,5.048596851471594,7,4.0,"Brian Hernandez, Jr.","George Arnold, II",2020-04-13+00:00,7
Ramadhaan (IRE),4,5.963039014373717,8,8.0,Reylu Gutierrez,Anna Meah,2019-05-15+00:00,2
Mo Shiro,5,5.06776180698152,1,15.0,Florent Geroux,Wayne Catalano,2020-04-06+00:00,4
Eidikos (GB),5,6.2587268993839835,2,3.0,John Velazquez,H. Motion,2019-01-27+00:00,2
Joyful Applause,5,6.1711156741957565,3,3.5,Edgar Morales,Helen Pitts,2019-02-28+00:00,3
Je Suis Rapide,5,5.952087611225188,4,30.0,"Rafael Mojica, Jr.",Barry King,2019-05-19+00:00,7
Take Charge Briana,5,5.204654346338125,5,5.0,Luis Saez,D. Lukas,2020-02-16+00:00,8
Fuente Ovejuna (GB),5,6.190280629705681,6,3.5,Tyler Gaffalione,Brendan Walsh,2019-02-21+00:00,1
Breaker of Chains,5,7.173169062286106,7,10.0,Reylu Gutierrez,George Weaver,2018-02-27+00:00,5
Helens Well (IRE),5,6.198494182067077,9,12.0,Gerardo Corrales,Eric Reed,2019-02-18+00:00,6
Music Amore,6,6.138261464750171,1,1.8,Luis Saez,Joe Sharp,2019-03-12+00:00,1
Zawadi,6,7.923340177960301,2,20.0,Rogelio Miranda,"John Hill, Jr.",2017-05-29+00:00,7
Waters of Merom,6,6.031485284052019,3,12.0,Gerardo Corrales,Eric Foster,2019-04-20+00:00,2
Sacred Beauty,6,6.143737166324435,4,2.0,Tyler Gaffalione,Jonathan Wong,2019-03-10+00:00,3
Addison,6,8.0766598220397,5,15.0,Rolando Aragon,Michael Evans II,2017-04-03+00:00,6
Neversaynoletsgo,6,8.05201916495551,7,5.0,Rafael Bejarano,Eric Reed,2017-04-12+00:00,4
