,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.1415,0.0965,0.066,0.10775,0.11175,0.1385,0.10025,0.057,0.0495,0.0685,0.03475,0.016,0.00575,0.00625
2,0.1335,0.111,0.092,0.1155,0.09275,0.14225,0.1145,0.07175,0.0285,0.06025,0.01325,0.00925,0.00525,0.01025
3,0.1,0.10975,0.07675,0.12125,0.12425,0.135,0.102,0.09525,0.0485,0.03575,0.01825,0.012,0.00825,0.013
4,0.1195,0.085,0.0795,0.0985,0.103,0.15425,0.12275,0.08225,0.03275,0.0545,0.03,0.01775,0.00575,0.0145
5,0.12925,0.076,0.07525,0.101,0.12175,0.128,0.1095,0.08275,0.053,0.05325,0.025,0.021,0.00475,0.0195
6,0.10675,0.0755,0.08725,0.116,0.12225,0.1285,0.0785,0.08225,0.0655,0.05625,0.03525,0.019,0.01025,0.01675
7,0.14275,0.0965,0.09075,0.11325,0.1015,0.14025,0.10025,0.0775,0.04175,0.057,0.01575,0.008,0.00375,0.011
8,0.08875,0.0915,0.069,0.0875,0.104,0.12725,0.1065,0.072,0.0615,0.08,0.039,0.0375,0.00375,0.03175
9,0.12625,0.105,0.099,0.11175,0.09975,0.13575,0.0985,0.07725,0.03975,0.048,0.02525,0.0165,0.00425,0.013
10,0.11775,0.078,0.09775,0.1025,0.11125,0.1335,0.099,0.07725,0.036,0.07675,0.0275,0.01825,0.006,0.0185
